Month,AAPL,MSFT,NVDA,AMZN,META,GOOG,LLY,AVGO,JPM,UNH
July-23,196.45,335.92,46.73,133.68,318.36,133.11,454.55,89.87,157.96,506.37
August-23,187.87,327.76,49.36,138.01,295.89,137.35,554.2,92.29,146.33,476.58
September-23,173.75,321.8,44.78,129.46,306.82,135.17,538.29,83.5,143.77,514.57
October-23,170.77,338.11,40.78,133.09,301.27,125.3,553.93,84.14,139.06,535.56
November-23,189.95,378.91,46.77,146.09,327.15,133.92,591.04,92.57,156.08,552.97
December-23,185.64,370.87,48.17,149.93,346.29,139.56,592.2,108.54,172.08,539.34
January-24,184.4,397.58,61.53,155.2,390.14,141.8,645.61,118,174.36,511.74
February-24,180.75,413.64,79.11,176.76,490.13,139.78,753.68,130.05,186.06,493.6
March-24,170.03,424.57,90.36,180.97,491.35,156.5,760.55,135.03,198.94,489.7
April-24,170.33,389.33,86.4,175,430.17,164.64,781.1,130.03,191.74,483.7
May-24,192.25,415.13,109.63,176.44,466.83,173.96,820.34,132.85,202.63,495.37
June-24,216.75,456.73,124.3,197.2,504.68,184.49,914.37,164.08,205.45,494.65
July-24,222.08,418.35,117.02,186.98,474.83,173.15,804.27,160.68,212.8,576.16
